感じ	かんじ
商品	しょうひん
写真	しゃしん|じゃしん
問題	もんだい
世界	せかい
記事	きじ
問い合わせ	といあわせ
仕事	しごと
使用	しよう
研究	けんきゅう
時代	じだい
事業	じぎょう
言葉	ことば
活動	かつどう
意味	いみ
作品	さくひん
受け	うけ
場所	ばしょ
教育	きょういく
部屋	へや|べや
全国	ぜんこく
向け	むけ
予定	よてい
病院	びょういん
部分	ぶぶん
会員	かいいん
開発	かいはつ
相談	そうだん
相手	あいて
始め	はじめ
委員	いいん
全て	すべて
意見	いけん
旅行	りょこう
気持ち	きもち
悪い	わるい|わりい|わろい
一部	いちぶ
注文	ちゅうもん|ちゅうぶん
家族	かぞく
注意	ちゅうい
理由	りゆう
指定	してい
期待	きたい
発表	はっぴょう
代表	だいひょう
文化	ぶんか
公開	こうかい
流れ	ながれ
登場	とうじょう
使い	つかい|つかわい|づかい
安全	あんぜん
年度	ねんど
作業	さぎょう
安心	あんしん
自身	じしん
取引	とりひき
使う	つかう|つこう
開始	かいし
自由	じゆう
全体	ぜんたい
一度	ひとたび|いちど
勉強	べんきょう
決定	けってい
話題	わだい
時期	じき
期間	きかん
発生	はっせい
放送	ほうそう
全く	まったく
発売	はつばい
行動	こうどう
動画	どうが
工事	こうじ
番号	ばんごう
持つ	もつ
中央	ちゅうおう
練習	れんしゅう
食事	しょくじ
第一	だいいち
全部	ぜんぶ
運動	うんどう
歯科	しか
様子	ようす
道路	どうろ
注目	ちゅうもく
発見	はっけん
今度	こんど
感想	かんそう
家庭	かてい
心配	しんぱい
有名	ゆうめい
都市	とし
学習	がくしゅう
面白い	おもしろい
動物	どうぶつ
住所	じゅうしょ
自動車	じどうしゃ
事実	じじつ
方向	ほうこう
神社	じんじゃ
地区	ちく
予想	よそう
決め	きめ|ぎめ
持ち	もち
画面	がめん
動き	うごき
落ち	おち
用意	ようい
身体	しんたい|からだ
運転	うんてん
幸せ	しあわせ
野球	やきゅう
調べ	しらべ
負け	まけ
銀行	ぎんこう
地球	ちきゅう
美味しい	おいしい
食品	しょくひん
終わり	おわり
発送	はっそう
遊び	あそび|すさび
仕方	しかた
物語	ものがたり
祭り	まつり
飲み	のみ
業者	ぎょうしゃ
感じる	かんじる
鉄道	てつどう
起き	おき
大事	おおごと|だいじ
発言	はつげん
美しい	うつくしい
気軽	きがる
病気	びょうき
全員	ぜんいん
発行	はっこう
交流	こうりゅう
問合せ	といあわせ
業界	ぎょうかい
買い物	かいもの
人物	じんぶつ
同様	どうよう
文章	ぶんしょう
取り	とり|どり
調整	ちょうせい
感動	かんどう
用品	ようひん
反対	はんたい
具体	ぐたい
高速	こうそく
医院	いいん
社員	しゃいん
目指し	めざし
受ける	うける
自転車	じてんしゃ
住まい	すまい|ずまい
勝手	かって|がって
安定	あんてい
送る	おくる
集め	あつめ
息子	むすこ
向上	こうじょう
植物	しょくぶつ
安い	やすい|やしい
予算	よさん
相当	そうとう
次回	じかい
読者	どくしゃ
平和	へいわ
公式	こうしき
路線	ろせん
自動	じどう
丁目	ちょうめ
方面	ほうめん
農業	のうぎょう
事前	じぜん
出発	しゅっぱつ
年代	ねんだい
始まり	はじまり
新着	しんちゃく
出身	しゅっしん
整理	せいり
使える	つかえる
首相	しゅしょう
旅館	りょかん
近所	きんじょ
有り	あり
強化	きょうか
実行	じっこう
他人	たにん|ひと|びと
使い方	つかいかた
空港	くうこう
子育て	こそだて
集中	しゅうちゅう
定期	ていき
生命	せいめい|いのち
配送	はいそう
始まる	はじまる
去年	こぞ|きょねん
主な	おもな
登山	とざん
勝手に	かってに
目指す	めざす
太陽	たいよう
深い	ふかい|ぶかい
守る	まもる|もる
決して	けっして|けして
都合	つごう
始める	はじめる
始めて	はじめて
次第	しだい
県内	けんない
世代	せだい
仕様	しよう
記者	きしゃ
表記	ひょうき
勝ち	かち|がち
定める	さだめる
高級	こうきゅう
運用	うんよう
係る	かかわる|かかる
取り組み	とりくみ
車両	しゃりょう
見事	みごと
回転	かいてん
調子	ちょうし|ぢょうし
返品	へんぴん
内部	ないぶ
進む	すすむ
商店	しょうてん
文庫	ぶんこ
主に	おもに
列車	れっしゃ
代わり	かわり|がわり
化学	かがく|ばけがく
取る	とる|どる
流し	ながし
乗り	のり
駅前	えきまえ
理事	りじ
表面	ひょうめん
向かう	むかう
生物	せいぶつ|なまもの
助け	たすけ|すけ
部門	ぶもん
長期	ちょうき
形式	けいしき
待ち	まち
工業	こうぎょう
寒い	さむい|さぶい|さみい|さびい
出来事	できごと
返事	へんじ
終わる	おわる
落とし	おとし
場面	ばめん
飲食	いんしょく|おんじき
世の中	よのなか
代金	だいきん
早速	さっそく
育て	そだて
本部	ほんぶ
苦手	にがて
