地域	ちいき
確認	かくにん
一覧	いちらん
子供	こども
探す	さがす
映画	えいが
提供	ていきょう
温泉	おんせん|いでゆ
探し	さがし
簡単	かんたん
存在	そんざい
住宅	じゅうたく
賃貸	ちんたい
経済	けいざい
専門	せんもん
忘れ	わすれれ|わすれ
対策	たいさく
欲しい	ほしい
ご覧	ごらん
届け	とどけ
担当	たんとう
障害	しょうがい
検討	けんとう
頂き	いただき
展開	てんかい
処理	しょり
自己	じこ
誕生	たんじょう
難しい	むずかしい|むつかしい
以降	いこう
法律	ほうりつ
著作	ちょさく
雑誌	ざっし
拡大	かくだい
認め	みとめ|したため
保存	ほぞん
暮らし	くらし|ぐらし
展示	てんじ
価値	かち
映像	えいぞう
負担	ふたん
改善	かいぜん
素敵	すてき
講座	こうざ
郵便	ゆうびん
危険	きけん
専用	せんよう
演奏	えんそう
政策	せいさく
若い	わかい
推進	すいしん
訪問	ほうもん
方針	ほうしん
看護	かんご
認識	にんしき
優勝	ゆうしょう
警察	けいさつ
異なる	ことなる
将来	しょうらい
規模	きぼ
装置	そうち
宇宙	うちゅう
批判	ひはん
自宅	じたく
議論	ぎろん
就職	しゅうしょく
政権	せいけん
発展	はってん
お腹	おなか
勤務	きんむ
疑問	ぎもん
段階	だんかい
改革	かいかく
納得	なっとく
値段	ねだん
操作	そうさ
認定	にんてい
厳しい	きびしい|いかめしい
異常	いじょう
処分	しょぶん
株式	かぶしき
申し訳	もうしわけ
著者	ちょしゃ
宗教	しゅうきょう
役割	やくわり
感染	かんせん
権利	けんり
候補	こうほ
済み	すみ|ずみ
呼ばれ	よばれ
降り	おり|ふり|くだり|ぶり
補助	ほじょ
収録	しゅうろく
除く	のぞく
死亡	しぼう
模様	もよう
訪れ	おとずれ
承認	しょうにん
秘密	ひみつ
容疑	ようぎ
痛い	いたい
優しい	やさしい
背景	はいけい
姿勢	しせい
否定	ひてい
証券	しょうけん
従来	じゅうらい
手段	しゅだん
危機	きき
裁判	さいばん
視点	してん
天皇	てんのう|すめらみこと
装備	そうび
困難	こんなん
我が家	わがや
無視	むし
優先	ゆうせん
翌日	よくじつ
沿い	そい|ぞい
看板	かんばん
貴重	きちょう
理論	りろん
収入	しゅうにゅう
収集	しゅうしゅう
解除	かいじょ
劇場	げきじょう
展望	てんぼう
資源	しげん
憲法	けんぽう
宣言	せんげん
貴方	あなた|きほう
若者	わかもの
紅葉	こうよう|もみじ
単純	たんじゅん
呼ぶ	よぶ
階段	かいだん
割引	わりびき
通勤	つうきん
宣伝	せんでん
回収	かいしゅう
若干	じゃっかん
退職	たいしょく
背中	せなか
何処	いずこ|どこ
帰宅	きたく
発揮	はっき
我が	わが
窓口	まどぐち
保障	ほしょう
遺産	いさん
論文	ろんぶん
筋肉	きんにく|すじにく
異なり	ことなり
立派	りっぱ
供給	きょうきゅう
沿線	えんせん
反映	はんえい
頂く	いただく
創造	そうぞう
人権	じんけん
収納	しゅうのう
重視	じゅうし
領域	りょういき
呼吸	こきゅう
巻き	まき
数値	すうち
延長	えんちょう
